Module No,Module Name,Module Purpose,Function Name,Function Description
5,BLOCK BREAKDOWN,Analisis detail per-blok individual,loadBlockData(blockCode),Memuat data lengkap untuk blok spesifik (attack rate SPH loss dll)
5,BLOCK BREAKDOWN,Analisis detail per-blok individual,populateBlockSelector(divisionCode),Mengisi dropdown selector dengan daftar blok dari divisi
5,BLOCK BREAKDOWN,Analisis detail per-blok individual,switchBlock(blockCode),Beralih tampilan ke blok yang berbeda
6,BLOCK CATEGORIZATION,Klasifikasi blok ke CRITICAL HIGH MEDIUM LOW,getGanodermaStadium(attackRate gapPct),Menentukan stadium (1-4) dan tingkat keparahan berdasarkan attack rate dan gap %
6,BLOCK CATEGORIZATION,Klasifikasi blok ke CRITICAL HIGH MEDIUM LOW,getStadium(attackRate gapPct),Mendapatkan klasifikasi stadium (simplified version)
6,BLOCK CATEGORIZATION,Klasifikasi blok ke CRITICAL HIGH MEDIUM LOW,getSeverityClass(stadium),Mendapatkan CSS class untuk warna berdasarkan severity
6,BLOCK CATEGORIZATION,Klasifikasi blok ke CRITICAL HIGH MEDIUM LOW,getPriorityBadge(priority),Mendapatkan HTML badge untuk priority level
7,YIELD TREND MODAL,Menampilkan analisis tren produksi,openYieldTrendModal(blockCode),Membuka modal tren yield untuk blok tertentu
7,YIELD TREND MODAL,Menampilkan analisis tren produksi,closeYieldTrendModal(),Menutup modal yield trend
7,YIELD TREND MODAL,Menampilkan analisis tren produksi,renderYieldTrendModal(blockCode),Render chart tren yield (Realisasi vs Potensi 2023-2025)
8,ANALYSIS MODAL,Analisis dampak treatment dan perhitungan ROI,openAnalysisModal(blockCode),Membuka modal analisis treatment untuk blok/divisi
8,ANALYSIS MODAL,Analisis dampak treatment dan perhitungan ROI,closeAnalysisModal(),Menutup modal analisis
8,ANALYSIS MODAL,Analisis dampak treatment dan perhitungan ROI,renderTotalAnalysis(),Render analisis agregat (total semua blok)
8,ANALYSIS MODAL,Analisis dampak treatment dan perhitungan ROI,renderModalCharts(data),Render chart-chart dalam modal
8,ANALYSIS MODAL,Analisis dampak treatment dan perhitungan ROI,renderComparisonChart(metric),Render chart perbandingan No Treatment vs With Treatment untuk metrik tertentu (AR/Gap/SPH/Loss)
9,DEGRADATION MODEL CHART,Menampilkan proyeksi degradasi 3 tahun ke depan,renderDegradationModelChart(blockCode),Render chart proyeksi 3 tahun degradation model untuk blok tertentu
10,DIVISION COMPARISON,Perbandingan metrik antar divisi,renderDivisionComparison(),Render chart perbandingan semua divisi (bar/line chart)
10,DIVISION COMPARISON,Perbandingan metrik antar divisi,renderCategoryDistributionChart(divisionCode),Render pie/doughnut chart distribusi kategori blok (Critical/High/Medium/Low)
11,CHART DEMO,Demo dan showcase fitur chart,showChartDemo(chartType),Menampilkan demo chart berdasarkan tipe yang dipilih
12,UTILITY FUNCTIONS,Helper functions untuk formatting dan mode switching,formatLossMiliar(value),Format nilai loss ke format Rp X.XX M (Miliar)
12,UTILITY FUNCTIONS,Helper functions untuk formatting dan mode switching,switchViewMode(mode),Switch antara mode tampilan (summary/detail/comparison)
