divisi,blok,blok_b,t_tanam,n_baris,n_pokok,objectid,ndre125,klassndre12025,ket
AME II,D01,D001A,2009,6,6,167943,0.429986037,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,7,167944,0.45820292,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,8,167961,0.458458754,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,9,167960,0.477508535,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,10,167986,0.486565844,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,11,167998,0.432235537,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,12,168013,0.534065234,Stres Ringan,Pokok Utama
AME II,D01,D001A,2009,6,13,168031,0.468670423,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,14,168040,0.419180859,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,15,168053,0.433619507,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,16,136595,0.42133229,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,17,136598,0.406893998,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,18,136606,0.402426849,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,19,136617,0.471806551,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,20,136626,0.420872739,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,21,136636,0.43572835,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,22,136641,0.451966731,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,23,136650,0.434597097,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,24,136674,0.432959691,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,25,136685,0.423189492,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,26,136681,0.420483873,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,1,167871,0.439984992,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,2,167873,0.469832213,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,3,167875,0.444586049,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,4,167923,0.451475671,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,5,167945,0.460069815,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,6,167962,0.459244778,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,7,167987,0.468616579,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,8,167999,0.457212208,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,9,168041,0.453308671,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,10,167922,0.448246188,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,11,136596,0.418060111,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,12,136597,0.42585974,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,13,136607,0.422787883,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,14,136618,0.463221762,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,15,136627,0.435291348,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,16,136635,0.40498034,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,17,136642,0.395762219,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,7,18,136651,0.420480542,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,19,136659,0.429640284,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,20,136677,0.404206693,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,21,136686,0.414175538,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,7,22,136683,0.458314641,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,1,167870,0.48200669,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,2,167902,0.468168504,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,3,167886,0.470438998,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,4,167901,0.500981236,Stres Ringan,Pokok Utama
AME II,D01,D001A,2009,8,5,167924,0.459503108,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,6,167927,0.436804979,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,7,167946,0.465824248,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,8,167963,0.423274653,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,9,167988,0.480814259,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,10,168000,0.513208241,Stres Ringan,Pokok Utama
AME II,D01,D001A,2009,8,11,168015,0.492967102,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,12,168032,0.501863198,Stres Ringan,Pokok Utama
AME II,D01,D001A,2009,8,13,168042,0.455761094,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,14,168055,0.439920416,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,15,133674,0.353472218,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,8,16,136608,0.424558403,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,17,136619,0.437688349,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,18,136628,0.459496325,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,19,136634,0.420665757,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,20,136643,0.414434838,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,21,136652,0.445657854,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,22,168135,0.395672802,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,8,23,136660,0.391222191,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,8,24,136679,0.419889956,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,25,136693,0.46126413,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,26,136687,0.470211271,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,27,136696,0.444211573,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,8,28,136682,0.390814533,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,9,1,167859,0.447890843,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,2,167876,0.426688929,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,3,167900,0.503119774,Stres Ringan,Pokok Utama
AME II,D01,D001A,2009,9,4,167925,0.447598044,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,5,167948,0.458365884,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,6,167947,0.415258881,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,7,167964,0.432252657,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,8,167989,0.458165828,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,9,167990,0.482317886,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,10,168001,0.480126469,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,11,168017,0.439546322,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,12,168043,0.397868265,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,9,13,168057,0.457204226,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,14,168056,0.433890954,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,15,136612,0.400232764,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,16,136610,0.447674936,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,17,136609,0.422987203,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,18,136620,0.411420076,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,19,136630,0.438522446,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,20,136629,0.416414193,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,21,136633,0.453269544,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,22,136645,0.41800064,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,23,136644,0.398354609,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,9,24,136654,0.44711253,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,25,136653,0.444158756,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,26,136662,0.444862738,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,27,136665,0.389626017,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,9,28,136666,0.39214263,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,9,29,136695,0.423227674,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,30,136689,0.464780219,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,31,136688,0.433331235,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,32,136698,0.45002809,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,33,136697,0.428800713,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,34,168183,0.452585516,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,35,168182,0.424034538,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,36,168192,0.450922339,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,9,37,168191,0.435826766,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,1,167860,0.455512034,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,2,167869,0.431413245,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,3,167868,0.449603757,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,4,167877,0.416840946,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,5,167884,0.392588354,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,10,6,167887,0.47566607,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,7,167926,0.457653175,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,8,167950,0.452788617,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,9,167949,0.445240432,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,10,167965,0.417601034,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,11,168003,0.444663896,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,12,168018,0.431436056,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,13,136613,0.409971701,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,14,136611,0.482110359,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,15,136621,0.434719193,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,16,358577,0.351330232,Stres Berat,Tamb
AME II,D01,D001A,2009,10,17,136622,0.397659169,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,10,18,136631,0.464137282,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,19,136632,0.473740995,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,20,136646,0.467179993,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,21,136655,0.469048046,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,22,136663,0.410866545,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,23,136664,0.377135679,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,10,24,136690,0.432122057,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,25,136700,0.480139594,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,26,136699,0.444536408,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,27,168193,0.468195434,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,10,28,168194,0.431398839,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,1,167861,0.443905933,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,2,167878,0.404594119,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,3,167883,0.437588075,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,4,167888,0.491700703,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,5,167899,0.461102762,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,6,167898,0.485936893,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,7,136706,0.391583874,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,11,8,168005,0.405381112,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,9,168051,0.411919221,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,10,168087,0.416455386,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,11,168095,0.38053075,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,11,12,168096,0.451488594,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,13,168120,0.401236924,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,14,168123,0.42602115,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,15,168129,0.458259518,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,16,168145,0.434555885,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,17,168164,0.456365244,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,18,168165,0.453766722,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,19,168167,0.444350011,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,20,136701,0.455214341,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,21,168179,0.489892559,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,22,168185,0.47647485,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,23,168197,0.433993657,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,11,24,168195,0.401076914,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,1,167862,0.470427544,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,2,167867,0.461252262,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,3,167889,0.438138987,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,4,167897,0.458688657,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,5,136704,0.468816162,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,6,168089,0.431633986,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,7,168097,0.456274075,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,8,168109,0.459075185,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,9,168121,0.436890495,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,10,168124,0.429195729,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,11,168136,0.40617054,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,12,12,168144,0.388720459,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,12,13,136692,0.378849339,Stres Berat,Pokok Utama
